0	1495	1492	1774	1411	1741	1392	1499	1781	1398	1501	1398	1314	1791	1396	1811	1398	1810	
1495	0	3	1695	1758	1810	1703	1678	1918	1415	1630	1409	1427	1440	1409	1756	1409	1853	
1492	3	0	1696	1759	1809	1702	1677	1919	1412	1629	1408	1426	1441	1406	1757	1408	1854	
1774	1695	1696	0	1721	1795	1602	1583	1851	1752	1673	1750	1686	1707	1748	1887	1750	1870	
1411	1758	1759	1721	0	1718	1655	1682	1872	1679	1644	1679	1639	1712	1677	1820	1679	1855	
1741	1810	1809	1795	1718	0	1703	1692	1868	1625	1608	1623	1591	1784	1621	1848	1623	1841	
1392	1703	1702	1602	1655	1703	0	1525	1817	1654	1395	1652	1606	1763	1650	1843	1652	1854	
1499	1678	1677	1583	1682	1692	1525	0	1746	1619	1146	1617	1567	1726	1615	1798	1617	1835	
1781	1918	1919	1851	1872	1868	1817	1746	0	1845	1766	1847	1813	1924	1845	1814	1847	1855	
1398	1415	1412	1752	1679	1625	1654	1619	1845	0	1543	8	372	1451	6	1833	8	1848	
1501	1630	1629	1673	1644	1608	1395	1146	1766	1543	0	1543	1525	1714	1541	1796	1543	1813	
1398	1409	1408	1750	1679	1623	1652	1617	1847	8	1543	0	368	1451	2	1831	0	1848	
1314	1427	1426	1686	1639	1591	1606	1567	1813	372	1525	368	0	1499	370	1837	368	1802	
1791	1440	1441	1707	1712	1784	1763	1726	1924	1451	1714	1451	1499	0	1453	1864	1451	1883	
1396	1409	1406	1748	1677	1621	1650	1615	1845	6	1541	2	370	1453	0	1829	2	1846	
1811	1756	1757	1887	1820	1848	1843	1798	1814	1833	1796	1831	1837	1864	1829	0	1831	1917	
1398	1409	1408	1750	1679	1623	1652	1617	1847	8	1543	0	368	1451	2	1831	0	1848	
1810	1853	1854	1870	1855	1841	1854	1835	1855	1848	1813	1848	1802	1883	1846	1917	1848	0	
