0	703	749	978	977	925	926	1241	1240	1241	1240	925	925	1242	925	925	925	
703	0	814	719	718	596	597	946	945	946	945	596	596	947	596	596	596	
749	814	0	985	986	850	851	1130	1129	1130	1129	850	850	1131	850	850	850	
978	719	985	0	1	251	252	849	848	849	848	251	251	850	251	251	251	
977	718	986	1	0	250	251	848	847	848	847	250	250	849	250	250	250	
925	596	850	251	250	0	1	636	635	636	635	0	0	637	0	0	0	
926	597	851	252	251	1	0	637	636	637	636	1	1	638	1	1	1	
1241	946	1130	849	848	636	637	0	1	2	1	636	636	1	636	636	636	
1240	945	1129	848	847	635	636	1	0	1	0	635	635	2	635	635	635	
1241	946	1130	849	848	636	637	2	1	0	1	636	636	3	636	636	636	
1240	945	1129	848	847	635	636	1	0	1	0	635	635	2	635	635	635	
925	596	850	251	250	0	1	636	635	636	635	0	0	637	0	0	0	
925	596	850	251	250	0	1	636	635	636	635	0	0	637	0	0	0	
1242	947	1131	850	849	637	638	1	2	3	2	637	637	0	637	637	637	
925	596	850	251	250	0	1	636	635	636	635	0	0	637	0	0	0	
925	596	850	251	250	0	1	636	635	636	635	0	0	637	0	0	0	
925	596	850	251	250	0	1	636	635	636	635	0	0	637	0	0	0	
