0	1	297	297	297	329	329	297	343	330	329	298	297	297	297	297	329	299	298	297	297	329	297	
1	0	296	296	296	328	328	296	342	329	328	297	296	296	296	296	328	298	297	296	296	328	296	
297	296	0	0	0	532	532	0	48	533	532	1	0	0	0	0	532	4	1	0	0	532	0	
297	296	0	0	0	532	532	0	48	533	532	1	0	0	0	0	532	4	1	0	0	532	0	
297	296	0	0	0	532	532	0	48	533	532	1	0	0	0	0	532	4	1	0	0	532	0	
329	328	532	532	532	0	0	532	574	1	0	533	532	532	532	532	0	534	533	532	532	0	532	
329	328	532	532	532	0	0	532	574	1	0	533	532	532	532	532	0	534	533	532	532	0	532	
297	296	0	0	0	532	532	0	48	533	532	1	0	0	0	0	532	4	1	0	0	532	0	
343	342	48	48	48	574	574	48	0	575	574	49	48	48	48	48	574	52	49	48	48	574	48	
330	329	533	533	533	1	1	533	575	0	1	534	533	533	533	533	1	535	534	533	533	1	533	
329	328	532	532	532	0	0	532	574	1	0	533	532	532	532	532	0	534	533	532	532	0	532	
298	297	1	1	1	533	533	1	49	534	533	0	1	1	1	1	533	3	2	1	1	533	1	
297	296	0	0	0	532	532	0	48	533	532	1	0	0	0	0	532	4	1	0	0	532	0	
297	296	0	0	0	532	532	0	48	533	532	1	0	0	0	0	532	4	1	0	0	532	0	
297	296	0	0	0	532	532	0	48	533	532	1	0	0	0	0	532	4	1	0	0	532	0	
297	296	0	0	0	532	532	0	48	533	532	1	0	0	0	0	532	4	1	0	0	532	0	
329	328	532	532	532	0	0	532	574	1	0	533	532	532	532	532	0	534	533	532	532	0	532	
299	298	4	4	4	534	534	4	52	535	534	3	4	4	4	4	534	0	5	4	4	534	4	
298	297	1	1	1	533	533	1	49	534	533	2	1	1	1	1	533	5	0	1	1	533	1	
297	296	0	0	0	532	532	0	48	533	532	1	0	0	0	0	532	4	1	0	0	532	0	
297	296	0	0	0	532	532	0	48	533	532	1	0	0	0	0	532	4	1	0	0	532	0	
329	328	532	532	532	0	0	532	574	1	0	533	532	532	532	532	0	534	533	532	532	0	532	
297	296	0	0	0	532	532	0	48	533	532	1	0	0	0	0	532	4	1	0	0	532	0	
